"Geography","1st centile","5th centile","25th centile","75th centile","95th centile","99th centile","Value","Group","Model","Scenario","ValueType","Creation Day","Creation Month","Creation Year","Day of Value","Month of Value","Year of Value"
"East of England",1.90445609895232,2.73492034801145,3.84104354590437,7.50078421095043,11.5695688046809,13.7556707121615,5.33485694638894,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,6,2020,17,2,2020
"London",49.9140929736782,55.2330552814609,68.9943593399628,99.0334648868539,122.982309731153,142.209095964032,83.4564930177665,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,6,2020,17,2,2020
"Midlands",12.0392443252036,14.4246402532766,17.2658503724868,23.7454015284784,31.7041676755452,36.8928726576388,20.2179255334423,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,6,2020,17,2,2020
"North East and Yorkshire",0.934979988253552,1.11507143415637,1.58879480840157,2.92378319382081,4.01982694259957,4.79410267757259,2.18956969645,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,6,2020,17,2,2020
"North West",2.19532775961053,2.58023447035307,4.07726200626267,9.89658625202146,14.9024868682553,17.323728346956,6.49830838837557,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,6,2020,17,2,2020
"South East",12.6661433632139,15.1919778877061,19.5944333627635,29.7024741408042,40.873464593117,50.1375246543977,24.368776254743,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,6,2020,17,2,2020
"South West",1.55364432785235,2.13419543341178,3.73982942636052,7.0470342154679,10.9738759600852,17.1437090714985,4.83742605101247,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,6,2020,17,2,2020
"East of England",4.30446515108233,6.14172296913063,8.59214340362826,16.5993008741099,25.417253169419,30.2366396130706,11.8630733675224,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,6,2020,18,2,2020
"London",110.560935507357,121.780551040823,151.878871991062,216.898384525798,268.421138213208,309.871661932674,183.312217462112,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,6,2020,18,2,2020
"Midlands",26.7613109534224,31.9974593575462,38.1915600766588,52.2795351952322,69.4437589252478,80.590868259581,44.5910184732963,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,6,2020,18,2,2020
"North East and Yorkshire",2.13689965234388,2.53418082889015,3.59430548771604,6.54923672703536,8.96797166330178,10.6818854875212,4.93033775045533,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,6,2020,18,2,2020
"North West",4.95799055230531,5.81381969365007,9.12781306729328,21.8561342592633,32.7111613322101,37.9697636623451,14.4409855381503,"PHE/Cambridge","Regional/age","Forecast","infections_cum",3,6,2020,18,2,2020
