"Geography","1st centile","5th centile","25th centile","75th centile","95th centile","99th centile","Value","Group","Model","Scenario","ValueType","Creation Day","Creation Month","Creation Year","Day of Value","Month of Value","Year of Value"
"East of England",2.06337068162926,2.87124391481194,4.48493280798727,8.73054363794698,13.8597478555889,17.9155783721602,6.20672469683736,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,17,2,2020
"London",41.1956181263255,50.6819635279899,64.3083474429731,89.5153368269696,111.908379553119,125.947028730148,75.5295953748227,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,17,2,2020
"Midlands",9.7230255260609,13.7442293843677,19.0520649957725,29.6647520399293,42.073613132272,49.7980739454081,24.5010169891947,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,17,2,2020
"North East and Yorkshire",1.60797530314358,1.9725795871828,2.98719602874711,5.06376576629951,7.25480022937623,8.68795998324873,3.79055981758507,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,17,2,2020
"North West",3.06378335246682,3.79467708963323,5.90620600233388,11.8216790011025,16.7725905964624,21.2714912688833,8.56478030336873,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,17,2,2020
"South East",10.6450455937741,13.0928058432298,18.240404792255,29.5981117490126,39.2906838142591,47.1753262011642,23.3016571141401,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,17,2,2020
"South West",1.46337319530016,1.89669015503844,3.10358665638974,12.2781373908966,20.9098090502999,26.1960474536308,5.48725439925577,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,17,2,2020
"East of England",4.64737710337381,6.46236869400222,10.0087582700798,19.3396169124979,30.5096922957413,39.365589340514,13.8068975095299,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,18,2,2020
"London",91.1885118960835,112.049194931256,141.751465181656,196.593411463333,245.419404502917,275.559197661259,166.115272141352,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,18,2,2020
"Midlands",21.6845410212107,30.5314188316915,42.1973716214359,65.234050818391,92.0423108779237,108.888419816306,54.0209678008888,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,18,2,2020
"North East and Yorkshire",3.6404335568315,4.46997130832071,6.71418003037962,11.3059795499718,16.1255895624604,19.2828538133951,8.48930491190904,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,18,2,2020
"North West",6.89587516178634,8.52190238503826,13.1748163917206,26.1158614755713,36.8580356324527,46.6303440066971,19.0220929275667,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,18,2,2020
"South East",23.4403470468044,28.7686522144962,39.9766740849718,64.4674115545244,85.2559426393636,102.20083860568,50.9562397184921,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,18,2,2020
"South West",3.25748990038271,4.21858742047124,6.87518612396212,26.6060748182352,44.9584541591062,56.2564466174936,12.0204505300006,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,18,2,2020
"East of England",8.10687684520381,11.2557906637784,17.2607940405296,32.9837821320876,51.6121767637695,66.4462850727052,23.6981831111326,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,19,2,2020
"London",155.380283597319,190.116193463942,239.866556681052,331.602529291371,413.087424190729,463.554994007865,280.687400585719,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,19,2,2020
"Midlands",37.2598954841554,52.1783170799603,71.9381293205357,110.534291305122,154.415757451639,182.171108938166,91.5798866027435,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,19,2,2020
"North East and Yorkshire",6.3876175151099,7.85288919874696,11.6830386745591,19.4606318711569,27.565550493677,32.9008024267106,14.6950331562134,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,19,2,2020
"North West",12.003214295386,14.7462110389909,22.6930729652947,44.3059674770432,62.1486514534792,78.5095189469316,32.5949437964903,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,19,2,2020
"South East",39.7132618553425,48.5702964250501,67.300618876826,107.689317352744,141.508328087201,169.420587154266,85.405855990731,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,19,2,2020
"South West",5.59661276694231,7.22330802121793,11.6967621382098,44.097991360088,73.8250633970147,92.1571790568091,20.2545305065985,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,19,2,2020
"East of England",12.7199915322694,17.5741333937243,26.6668482834006,50.3566559326989,78.2552017911604,100.364091438841,36.372410294914,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,20,2,2020
"London",237.028605137699,289.138949092716,363.671086362111,500.133224742631,621.002866897061,697.310349557569,423.982891922302,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,20,2,2020
"Midlands",57.3584796301371,80.0099594417493,109.661562083136,167.260211873324,231.733076149146,273.623859827858,138.955755676447,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,20,2,2020
"North East and Yorkshire",10.0639175085008,12.3669947624174,18.2064974867418,30.0762453047967,42.3325159715163,50.2562992082364,22.8124694789174,"PHE/Cambridge","Regional/age","Forecast","infections_cum",15,6,2020,20,2,2020
