"Geography","1st centile","5th centile","25th centile","75th centile","95th centile","99th centile","Value","Group","Model","Scenario","ValueType","Creation Day","Creation Month","Creation Year","Day of Value","Month of Value","Year of Value"
"East of England",2.39751630357666,3.04149749969291,4.64928327371171,7.70882492654687,11.0764445455673,13.5955114227378,6.21564396853509,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,17,2,2020
"London",100.362371439241,117.377542713745,152.804436455579,193.528372015664,235.803403133357,277.194381001879,172.308618527041,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,17,2,2020
"Midlands",18.6389034270192,21.7004775781969,28.6310251119508,39.5589685503159,49.9770888353519,58.7930868387749,34.0954494015416,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,17,2,2020
"North East and Yorkshire",0.7116411509308,1.062157398513,1.77997404371023,3.05705345654553,4.28190158422213,5.17155519418742,2.30846065579993,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,17,2,2020
"North West",2.74504268644066,3.28389948931878,4.59153681909977,8.19025383643285,12.4415066236443,15.5431454915871,6.19668304318595,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,17,2,2020
"South East",13.5209202246821,16.1684076381,21.8561024305296,33.2104295783976,45.794333099727,54.0130323946747,26.3029870506915,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,17,2,2020
"South West",1.54932387345813,1.99678628438272,3.09254388743491,6.31133414405825,9.9255304694087,12.5147230293313,4.50138273590378,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,17,2,2020
"East of England",5.44138309813703,6.88623337542592,10.4624867114503,17.2158588175968,24.5973590605482,30.1168796893136,13.9254262583331,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,18,2,2020
"London",221.390107842257,258.430722859665,335.330243486883,423.242606241206,514.110529450671,603.180940012078,377.425344843081,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,18,2,2020
"Midlands",41.5168181725628,48.2156394107313,63.3081474773128,87.1123437014654,109.706758012871,128.747604468788,75.2175343838054,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,18,2,2020
"North East and Yorkshire",1.64760719298031,2.4434784637154,4.06210935209203,6.92283588448829,9.6483633135283,11.6416055124966,5.25077720495674,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,18,2,2020
"North West",6.24718059337591,7.45611301623602,10.3857018239186,18.3422743153541,27.7153470208018,34.5425293641845,13.9463865225646,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,18,2,2020
"South East",29.9998605497568,35.8025245483172,48.1713223838746,72.7661276231397,99.9146496310677,117.511409706973,57.7702074477686,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,18,2,2020
"South West",3.49189930219607,4.48239981788708,6.89740101227549,13.9464400592554,21.7686540916146,27.3760838927705,9.98884403015451,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,18,2,2020
"East of England",9.58015090531353,12.0747668237067,18.2104266970659,29.6523162580993,42.1260530898453,51.430865126603,24.1080110838553,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,19,2,2020
"London",375.790949324609,437.593316669511,565.077055397692,710.121894190755,859.282193275407,1005.24522771184,634.985516252393,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,19,2,2020
"Midlands",71.2835896021744,82.5294978994777,107.725883348772,147.460016104243,185.180088125702,216.592084672201,127.693375696787,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,19,2,2020
"North East and Yorkshire",2.97327661190616,4.37156338867732,7.20223801588694,12.1530816476584,16.8440209636193,20.258233842499,9.26715378999653,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,19,2,2020
"North West",11.0278210081554,13.1356891776323,18.1822933465631,31.7681193549509,47.6405714007352,59.1731705950568,24.2720723859076,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,19,2,2020
"South East",51.271390195353,61.0258227002409,81.6229659993486,122.477271724929,167.105055914878,195.892931845603,97.5702133657782,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,19,2,2020
"South West",6.08669739025139,7.77783731607713,11.872081039145,23.6882728416328,36.6712695815024,45.9514701907664,17.0804321021019,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,19,2,2020
"East of England",15.1324101482435,18.9960929784489,28.4187488313133,45.8282364549421,64.6381083157801,78.5592288230833,37.400444398307,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,20,2,2020
"London",572.307831378436,664.0510282066,852.643366209657,1066.04254250177,1284.66613432653,1499.28360887593,955.817152675999,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,20,2,2020
"Midlands",109.541438192523,126.637545482198,164.069821626318,223.469614682263,279.558821278035,325.79058032479,194.080346355215,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,20,2,2020
"North East and Yorkshire",4.82692643595043,7.02039298284994,11.4581443736873,19.1361361437629,26.356486344791,31.5778567481278,14.6695878478386,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,20,2,2020
"North West",17.4680890936699,20.7651387864468,28.558405151375,49.2956619148826,73.3186584709488,90.8235393675991,37.9127388300071,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,20,2,2020
"South East",78.4900385295283,93.1290580903004,123.822981805093,184.404229531062,250.071287622988,292.126680702068,147.540715311543,"PHE/Cambridge","Regional/age","Forecast","infections_cum",16,5,2020,20,2,2020
