2020-02-17	0	0	0	0
2020-02-18	0	0	0	0
2020-02-19	0	0	0	0
2020-02-20	0	0	0	0
2020-02-21	0	0	0	0
2020-02-22	0	0	0	0
2020-02-23	0	0	0	0
2020-02-24	0	0	0	0
2020-02-25	0	0	0	0
2020-02-26	0	0	0	0
2020-02-27	0	0	0	0
2020-02-28	0	0	0	0
2020-02-29	0	0	0	0
2020-03-01	0	0	0	0
2020-03-02	0	0	0	0
2020-03-03	0	0	0	0
2020-03-04	0	0	0	0
2020-03-05	0	0	0	0
2020-03-06	0	0	0	0
2020-03-07	0	0	0	0
2020-03-08	0	0	0	0
2020-03-09	0	0	0	0
2020-03-10	0	0	0	0
2020-03-11	0	0	0	0
2020-03-12	0	0	0	1
2020-03-13	0	0	0	0
2020-03-14	0	0	0	0
2020-03-15	0	0	1	2
2020-03-16	0	0	1	1
2020-03-17	0	0	1	1
2020-03-18	0	0	0	3
2020-03-19	0	0	1	3
2020-03-20	0	1	0	5
2020-03-21	0	0	1	5
2020-03-22	0	2	0	6
2020-03-23	0	4	3	5
2020-03-24	0	1	1	8
2020-03-25	0	1	5	12
2020-03-26	0	3	7	13
2020-03-27	1	3	10	18
2020-03-28	1	4	11	20
2020-03-29	1	7	9	23
2020-03-30	0	9	9	50
2020-03-31	0	9	17	39
2020-04-01	0	9	13	57
2020-04-02	0	12	14	56
2020-04-03	1	11	24	68
2020-04-04	3	16	12	89
2020-04-05	4	10	20	68
2020-04-06	1	8	28	71
2020-04-07	2	9	20	80
2020-04-08	0	13	23	92
2020-04-09	2	17	20	86
2020-04-10	4	12	17	104
2020-04-11	2	7	21	83
2020-04-12	3	15	17	76
2020-04-13	0	12	14	83
2020-04-14	0	17	15	92
2020-04-15	1	8	22	88
2020-04-16	0	7	19	93
2020-04-17	0	18	13	80
2020-04-18	0	10	11	95
2020-04-19	1	11	22	79
2020-04-20	1	12	16	90
2020-04-21	0	7	15	84
2020-04-22	2	5	21	86
2020-04-23	0	7	10	76
2020-04-24	0	8	17	77
2020-04-25	0	7	19	88
2020-04-26	2	7	12	80
2020-04-27	1	9	16	77
2020-04-28	0	7	17	79
2020-04-29	2	9	10	82
2020-04-30	0	9	14	71
2020-05-01	0	4	13	78
2020-05-02	1	3	17	80
2020-05-03	0	5	7	64
2020-05-04	0	4	12	73
2020-05-05	0	4	9	69
2020-05-06	0	5	10	63
2020-05-07	2	7	7	79
2020-05-08	0	3	9	66
2020-05-09	0	3	5	58
2020-05-10	0	2	6	60
2020-05-11	0	6	9	45
2020-05-12	0	1	5	44
2020-05-13	1	4	6	57
2020-05-14	0	2	8	54
2020-05-15	0	1	5	63
2020-05-16	0	6	6	56
2020-05-17	1	2	6	42
2020-05-18	0	4	4	59
2020-05-19	0	4	6	40
2020-05-20	0	7	3	38
2020-05-21	1	3	5	43
2020-05-22	0	3	7	30
2020-05-23	0	1	2	35
2020-05-24	0	2	1	37
2020-05-25	0	6	4	31
2020-05-26	0	3	2	32
2020-05-27	1	1	4	31
2020-05-28	0	0	2	37
2020-05-29	0	3	7	32
2020-05-30	0	0	5	33
2020-05-31	0	1	9	20
2020-06-01	0	1	2	26
2020-06-02	0	5	7	29
2020-06-03	0	0	7	21
2020-06-04	0	0	4	22
2020-06-05	0	4	0	21
2020-06-06	1	3	1	15
2020-06-07	0	1	2	19
2020-06-08	0	1	3	16
2020-06-09	0	2	3	13
2020-06-10	0	1	2	22
2020-06-11	0	0	0	13
2020-06-12	1	0	0	13
2020-06-13	0	0	3	9
2020-06-14	0	1	2	11
2020-06-15	0	1	2	7
2020-06-16	1	0	0	12
2020-06-17	0	1	0	5
2020-06-18	0	2	2	11
2020-06-19	0	0	1	4
2020-06-20	0	0	1	7
2020-06-21	1	1	2	7
2020-06-22	0	1	1	10
2020-06-23	0	0	2	10
2020-06-24	0	1	6	9
2020-06-25	0	0	2	6
2020-06-26	0	3	0	5
2020-06-27	0	0	1	6
2020-06-28	0	0	2	5
2020-06-29	0	0	0	3
2020-06-30	0	1	2	7
2020-07-01	0	0	1	2
2020-07-02	0	2	3	4
2020-07-03	0	0	0	7
2020-07-04	0	0	0	3
2020-07-05	0	0	2	1
2020-07-06	0	1	0	2
2020-07-07	0	1	1	2
2020-07-08	0	0	2	3
2020-07-09	0	0	0	0
2020-07-10	0	0	0	3
2020-07-11	0	0	0	1
2020-07-12	0	0	1	3
2020-07-13	0	0	0	1
2020-07-14	0	1	0	2
2020-07-15	0	0	1	1
2020-07-16	0	1	0	2
2020-07-17	0	0	0	3
2020-07-18	0	0	2	2
2020-07-19	0	1	0	1
2020-07-20	0	0	0	1
2020-07-21	0	1	0	2
2020-07-22	0	0	1	4
2020-07-23	0	0	1	2
2020-07-24	1	0	0	2
2020-07-25	0	0	0	2
2020-07-26	0	1	0	2
2020-07-27	0	1	0	0
2020-07-28	0	0	1	1
2020-07-29	0	0	0	1
2020-07-30	0	0	0	0
2020-07-31	0	0	0	0
2020-08-01	0	0	1	2
2020-08-02	0	0	0	2
2020-08-03	0	0	0	3
2020-08-04	0	0	0	2
2020-08-05	0	0	0	0
2020-08-06	0	0	1	2
2020-08-07	0	0	0	0
2020-08-08	0	0	1	2
2020-08-09	0	0	1	1
2020-08-10	0	0	1	2
2020-08-11	0	0	0	2
2020-08-12	0	0	0	2
2020-08-13	0	0	0	1
2020-08-14	0	0	0	0
2020-08-15	0	0	0	3
2020-08-16	0	0	0	1
2020-08-17	0	0	0	6
2020-08-18	0	0	0	1
2020-08-19	0	0	0	0
2020-08-20	1	0	0	0
2020-08-21	0	0	0	2
2020-08-22	0	0	0	1
2020-08-23	0	0	0	4
2020-08-24	0	0	0	0
2020-08-25	0	0	0	1
2020-08-26	0	0	1	1
